done_us,dt_good_us,raw,delta,counts,i2c_us,omega_mrev,window_mrev,cmd_mrev,fas_mrev,remain_ddeg,flags_hex,state,stage,current_ma,step_count,step_us,drv_status_hex,tstep,driver_age_us,gstat_hex,pins_hex
539704551,998,2576,0,58952,233,0,8,0,0,0,1,0,0,0,1830,539704587,2164260908,1048575,5479,0,1
539705602,1051,2577,1,58951,292,0,-8,0,0,0,1,0,0,0,1830,539705689,2164260908,1048575,6606,0,1
539706778,1176,2576,-1,58952,469,0,8,0,0,0,1,0,0,0,1830,539706891,2164260908,1048575,7806,0,1
539707668,890,2576,0,58952,356,0,8,0,0,0,1,0,0,0,1830,539707729,2164260908,1048575,8632,0,1
539708576,908,2576,0,58952,266,1,8,0,0,0,1,0,0,0,1830,539708624,2164260908,1048575,9522,0,1
539709578,1002,2576,0,58952,269,1,8,0,0,0,1,0,0,0,1830,539709624,2164260908,1048575,10523,0,1
539710581,1003,2576,0,58952,273,1,8,0,0,0,1,0,0,0,1830,539710628,2164260908,1048575,11524,0,1
539711589,1008,2577,1,58951,278,1,0,0,0,0,1,0,0,0,1830,539711638,2164260908,1048575,12536,0,1
539712575,986,2577,0,58951,261,1,-8,0,0,0,1,0,0,0,1830,539712619,2164260908,1048575,13514,0,1
539713586,1011,2577,0,58951,276,0,-8,0,0,0,1,0,0,0,1830,539713633,2164260908,1048575,14533,0,1
539714573,987,2576,-1,58952,262,0,0,0,0,0,1,0,0,0,1830,539714625,2164260908,1048575,15521,0,1
539715593,1020,2576,0,58952,280,0,0,0,0,0,1,0,0,0,1830,539715640,2164260908,1048575,16538,0,1
539716661,1068,2576,0,58952,334,1,8,0,0,0,1,0,0,0,1830,539716753,2164260908,1048575,17666,0,1
539717591,930,2576,0,58952,283,1,8,0,0,0,1,0,0,0,1830,539717619,2164260908,1048575,18511,0,1
539718563,972,2576,0,58952,244,1,0,0,0,0,1,0,0,0,1830,539718601,2164260908,1048575,19493,0,1
539719547,984,2576,0,58952,238,1,0,0,0,0,1,0,0,0,1830,539719574,2164260908,1048575,20464,0,1
539720550,1003,2576,0,58952,231,1,0,0,0,0,1,0,0,0,1830,539720586,2164260908,1048575,21477,0,1
539721554,1004,2576,0,58952,237,1,8,0,0,0,1,0,0,0,1830,539721581,2164260908,1048575,22471,0,1
539722550,996,2576,0,58952,237,1,8,0,0,0,1,0,0,0,1830,539722588,2164260908,1048575,23480,0,1
539723552,1002,2576,0,58952,238,1,0,0,0,0,1,0,0,0,1830,539723579,2164260908,1048575,24469,0,1
539724536,984,2576,0,58952,226,1,0,0,0,0,1,0,0,0,1830,539724573,2164260908,1048575,25465,0,1
539725615,1079,2576,0,58952,294,1,0,0,0,0,1,0,0,0,1830,539725699,2164260908,1048575,26613,0,1
539726780,1165,2576,0,58952,470,1,0,0,0,0,1,0,0,0,1830,539726887,2164260908,1048575,27803,0,1
539727674,894,2577,1,58951,364,1,-8,0,0,0,1,0,0,0,1830,539727729,2164260908,1048575,28632,0,1
539728579,905,2577,0,58951,264,1,-8,0,0,0,1,0,0,0,1830,539728634,2164260908,1048575,29531,0,1
539729586,1007,2576,-1,58952,269,1,8,0,0,0,1,0,0,0,1830,539729632,2164260908,1048575,30532,0,1
539730582,996,2577,1,58951,271,1,0,0,0,0,1,0,0,0,1830,539730632,2164260908,1048575,31529,0,1
539731580,998,2577,0,58951,270,0,-8,0,0,0,1,0,0,0,1830,539731632,2164260908,1048575,32530,0,1
539732576,996,2577,0,58951,262,0,-8,0,0,0,1,0,0,0,1830,539732624,2164260908,1048575,33521,0,1
539733586,1010,2576,-1,58952,267,0,0,0,0,0,1,0,0,0,1830,539733633,2164260908,1048575,34531,0,1
539734575,989,2577,1,58951,263,0,-8,0,0,0,1,0,0,0,1830,539734630,2164260908,1048575,35527,0,1
539735582,1007,2577,0,58951,271,0,-8,0,0,0,1,0,0,0,1830,539735629,2164260908,1048575,36527,0,1
539736669,1087,2576,-1,58952,356,0,8,0,0,0,1,0,0,0,1830,539736763,2164260908,1048575,37675,0,1
539737583,914,2576,0,58952,272,0,0,0,0,0,1,0,0,0,1830,539737616,2164260908,1048575,38509,0,1
539738553,970,2576,0,58952,243,0,0,0,0,0,1,0,0,0,1830,539738592,2164260908,1048575,39484,0,1
539739555,1002,2576,0,58952,238,0,0,0,0,0,1,0,0,0,1830,539739587,2164260908,1048575,40477,0,1
539740552,997,2576,0,58952,234,0,0,0,0,0,1,0,0,0,1830,539740588,2164260908,1048575,41481,0,1
539741538,986,2576,0,58952,232,0,0,0,0,0,1,0,0,0,1830,539741571,2164260908,1048575,42462,0,1
539742539,1001,2576,0,58952,233,0,8,0,0,0,1,0,0,0,1830,539742580,2164260908,1048575,43471,0,1
539743555,1016,2577,1,58951,238,0,0,0,0,0,1,0,0,0,1830,539743587,2164260908,1048575,44478,0,1
539744553,998,2577,0,58951,234,0,0,0,0,0,1,0,0,0,1830,539744588,2164260908,1048575,45480,0,1
539745596,1043,2577,0,58951,286,0,-8,0,0,0,1,0,0,0,1830,539745680,2164260908,1048575,46596,0,1
539746782,1186,2576,-1,58952,472,0,0,0,0,0,1,0,0,0,1830,539746891,2164260908,1048575,47807,0,1
539747672,890,2576,0,58952,358,0,0,0,0,0,1,0,0,0,1830,539747727,2164260908,1048575,48630,0,1
539748577,905,2576,0,58952,263,0,0,0,0,0,1,0,0,0,1830,539748629,2164260908,1048575,49528,0,1
539749577,1000,2576,0,58952,268,0,0,0,0,0,1,0,0,0,1830,539749622,2164260908,1048575,1,0,1
539750597,1020,2577,1,58951,276,0,-8,0,0,0,1,0,0,0,1830,539750652,2164260908,1048575,475,0,1
539751588,991,2577,0,58951,280,-1,-8,0,0,0,1,0,0,0,1830,539751638,2164260908,1048575,1465,0,1
539752578,990,2576,-1,58952,269,-1,0,0,0,0,1,0,0,0,1830,539752630,2164260908,1048575,2457,0,1
539753584,1006,2576,0,58952,268,-1,0,0,0,0,1,0,0,0,1830,539753633,2164260908,1048575,3460,0,1
539754585,1001,2576,0,58952,271,-1,0,0,0,0,1,0,0,0,1830,539754640,2164260908,1048575,4466,0,1
539755588,1003,2576,0,58952,269,-1,0,0,0,0,1,0,0,0,1830,539755637,2164260908,1048575,5463,0,1
539756693,1105,2576,0,58952,361,-1,0,0,0,0,1,0,0,0,1830,539756787,2164260908,1048575,6625,0,1
539757580,887,2576,0,58952,273,-1,0,0,0,0,1,0,0,0,1830,539757613,2164260908,1048575,7433,0,1
539758550,970,2576,0,58952,241,0,8,0,0,0,1,0,0,0,1830,539758589,2164260908,1048575,8409,0,1
539759553,1003,2577,1,58951,237,0,0,0,0,0,1,0,0,0,1830,539759586,2164260908,1048575,9405,0,1
539760552,999,2577,0,58951,232,-1,-8,0,0,0,1,0,0,0,1830,539760588,2164260908,1048575,10408,0,1
539761537,985,2577,0,58951,231,-1,0,0,0,0,1,0,0,0,1830,539761570,2164260908,1048575,11389,0,1
539762550,1013,2577,0,58951,238,-1,0,0,0,0,1,0,0,0,1830,539762591,2164260908,1048575,12411,0,1
539763555,1005,2576,-1,58952,237,0,8,0,0,0,1,0,0,0,1830,539763588,2164260908,1048575,13406,0,1
539764534,979,2576,0,58952,228,0,0,0,0,0,1,0,0,0,1830,539764570,2164260908,1048575,14390,0,1
539765597,1063,2577,1,58951,287,0,0,0,0,0,1,0,0,0,1830,539765677,2164260908,1048575,15520,0,1
539766800,1203,2577,0,58951,471,-1,-8,0,0,0,1,0,0,0,1830,539766905,2164260908,1048575,16769,0,1
539767669,869,2576,-1,58952,345,-1,0,0,0,0,1,0,0,0,1830,539767727,2164260908,1048575,17557,0,1
539768577,908,2577,1,58951,265,-1,-8,0,0,0,1,0,0,0,1830,539768631,2164260908,1048575,18457,0,1
539769584,1007,2577,0,58951,269,-1,-8,0,0,0,1,0,0,0,1830,539769630,2164260908,1048575,19457,0,1
539770586,1002,2576,-1,58952,273,-1,0,0,0,0,1,0,0,0,1830,539770637,2164260908,1048575,20463,0,1
539771588,1002,2576,0,58952,271,-1,0,0,0,0,1,0,0,0,1830,539771638,2164260908,1048575,21464,0,1
539772580,992,2576,0,58952,267,-1,0,0,0,0,1,0,0,0,1830,539772628,2164260908,1048575,22453,0,1
539773575,995,2577,1,58951,266,-1,0,0,0,0,1,0,0,0,1830,539773622,2164260908,1048575,23448,0,1
539774581,1006,2576,-1,58952,263,-1,8,0,0,0,1,0,0,0,1830,539774635,2164260908,1048575,24461,0,1
539775586,1005,2576,0,58952,270,0,8,0,0,0,1,0,0,0,1830,539775633,2164260908,1048575,25460,0,1
539776685,1099,2576,0,58952,354,0,8,0,0,0,1,0,0,0,1830,539776775,2164260908,1048575,26614,0,1
539777582,897,2576,0,58952,274,0,0,0,0,0,1,0,0,0,1830,539777616,2164260908,1048575,27436,0,1
539778554,972,2576,0,58952,243,0,0,0,0,0,1,0,0,0,1830,539778592,2164260908,1048575,28412,0,1
539779555,1001,2576,0,58952,238,0,0,0,0,0,1,0,0,0,1830,539779587,2164260908,1048575,29405,0,1
539780552,997,2576,0,58952,234,0,0,0,0,0,1,0,0,0,1830,539780588,2164260908,1048575,30409,0,1
539781538,986,2576,0,58952,232,0,8,0,0,0,1,0,0,0,1830,539781571,2164260908,1048575,31390,0,1
539782549,1011,2576,0,58952,239,1,8,0,0,0,1,0,0,0,1830,539782590,2164260908,1048575,32409,0,1
539783552,1003,2576,0,58952,238,1,0,0,0,0,1,0,0,0,1830,539783585,2164260908,1048575,33404,0,1
539784551,999,2576,0,58952,234,1,0,0,0,0,1,0,0,0,1830,539784587,2164260908,1048575,34406,0,1
539785592,1041,2576,0,58952,286,1,0,0,0,0,1,0,0,0,1830,539785674,2164260908,1048575,35519,0,1
539786774,1182,2576,0,58952,458,1,0,0,0,0,1,0,0,0,1830,539786880,2164260908,1048575,36735,0,1
539787662,888,2577,1,58951,346,0,-8,0,0,0,1,0,0,0,1830,539787720,2164260908,1048575,37552,0,1
539788581,919,2576,-1,58952,267,0,0,0,0,0,1,0,0,0,1830,539788635,2164260908,1048575,38463,0,1
539789578,997,2576,0,58952,269,1,8,0,0,0,1,0,0,0,1830,539789625,2164260908,1048575,39452,0,1
539790587,1009,2576,0,58952,276,1,8,0,0,0,1,0,0,0,1830,539790638,2164260908,1048575,40464,0,1
539791585,998,2576,0,58952,276,1,8,0,0,0,1,0,0,0,1830,539791636,2164260908,1048575,41462,0,1
539792586,1001,2576,0,58952,270,1,8,0,0,0,1,0,0,0,1830,539792640,2164260908,1048575,42465,0,1
539793579,993,2576,0,58952,270,1,0,0,0,0,1,0,0,0,1830,539793626,2164260908,1048575,43454,0,1
539794579,1000,2577,1,58951,267,1,-8,0,0,0,1,0,0,0,1830,539794634,2164260908,1048575,44460,0,1
539795586,1007,2576,-1,58952,270,1,0,0,0,0,1,0,0,0,1830,539795631,2164260908,1048575,45458,0,1
539796668,1082,2576,0,58952,343,1,8,0,0,0,1,0,0,0,1830,539796759,2164260908,1048575,46600,0,1
539797579,911,2576,0,58952,271,1,8,0,0,0,1,0,0,0,1830,539797613,2164260908,1048575,47434,0,1
539798552,973,2576,0,58952,242,1,0,0,0,0,1,0,0,0,1830,539798591,2164260908,1048575,48411,0,1
539799554,1002,2576,0,58952,236,2,8,0,0,0,1,0,0,0,1830,539799587,2164260908,1048575,49406,0,1
539800553,999,2576,0,58952,234,2,8,0,0,0,1,0,0,0,1830,539800590,2164260908,1048575,0,0,1
