record,done_us,dt_good_us,raw,delta,counts,i2c_us,omega_mrev,window_mrev,cmd_mrev,fas_mrev,remain_ddeg,flags_hex,state,stage,current_ma,step_count,step_us,drv_status_hex,tstep,driver_age_us,gstat_hex,pins_hex
D,21942085,982,883,0,3301,232,0,0,0,0,0,01,0,0,0,0,21942121,801D001D,1048575,4379,00,03
D,21943087,1002,883,0,3301,233,0,0,0,0,0,01,0,0,0,0,21943118,801D001D,1048575,5378,00,03
D,21944115,1028,883,0,3301,246,0,0,0,0,0,01,0,0,0,0,21944153,801D001D,1048575,6413,00,03
D,21945088,973,883,0,3301,233,0,0,0,0,0,01,0,0,0,0,21945120,801D001D,1048575,7380,00,03
D,21946085,997,883,0,3301,231,0,0,0,0,0,01,0,0,0,0,21946119,801D001D,1048575,8378,00,03
D,21947105,1020,883,0,3301,236,0,0,0,0,0,01,0,0,0,0,21947141,801D001D,1048575,9401,00,03
D,21948113,1008,883,0,3301,254,0,0,0,0,0,01,0,0,0,0,21948153,801D001D,1048575,10418,00,03
D,21949175,1062,883,0,3301,309,0,0,0,0,0,01,0,0,0,0,21949261,801D001D,1048575,11531,00,03
D,21950250,1075,883,0,3301,384,0,0,0,0,0,01,0,0,0,0,21950363,801D001D,1048575,12662,00,03
D,21951164,914,883,0,3301,310,0,0,0,0,0,01,0,0,0,0,21951229,801D001D,1048575,13492,00,03
D,21952174,1010,883,0,3301,311,0,0,0,0,0,01,0,0,0,0,21952240,801D001D,1048575,14506,00,03
D,21953175,1001,883,0,3301,310,0,0,0,0,0,01,0,0,0,0,21953235,801D001D,1048575,15501,00,03
D,21954145,970,883,0,3301,292,0,0,0,0,0,01,0,0,0,0,21954208,801D001D,1048575,16471,00,03
D,21955162,1017,883,0,3301,304,0,0,0,0,0,01,0,0,0,0,21955223,801D001D,1048575,17489,00,03
D,21956150,988,883,0,3301,289,0,0,0,0,0,01,0,0,0,0,21956213,801D001D,1048575,18478,00,03
D,21957146,996,883,0,3301,281,0,0,0,0,0,01,0,0,0,0,21957207,801D001D,1048575,19472,00,03
D,21958177,1031,883,0,3301,316,0,0,0,0,0,01,0,0,0,0,21958244,801D001D,1048575,20511,00,03
D,21959143,966,883,0,3301,279,0,0,0,0,0,01,0,0,0,0,21959203,801D001D,1048575,21465,00,03
D,21960199,1056,883,0,3301,331,0,0,0,0,0,01,0,0,0,0,21960296,801D001D,1048575,22570,00,03
D,21961101,902,883,0,3301,247,0,0,0,0,0,01,0,0,0,0,21961137,801D001D,1048575,23397,00,03
D,21962099,998,883,0,3301,235,0,0,0,0,0,01,0,0,0,0,21962135,801D001D,1048575,24395,00,03
D,21963083,984,883,0,3301,230,0,0,0,0,0,01,0,0,0,0,21963112,801D001D,1048575,25370,00,03
D,21964099,1016,883,0,3301,240,0,0,0,0,0,01,0,0,0,0,21964138,801D001D,1048575,26399,00,03
D,21965095,996,883,0,3301,237,0,0,0,0,0,01,0,0,0,0,21965127,801D001D,1048575,27387,00,03
D,21966097,1002,883,0,3301,233,0,0,0,0,0,01,0,0,0,0,21966133,801D001D,1048575,28392,00,03
D,21967106,1009,883,0,3301,237,0,0,0,0,0,01,0,0,0,0,21967142,801D001D,1048575,29402,00,03
D,21968112,1006,883,0,3301,252,0,0,0,0,0,01,0,0,0,0,21968155,801D001D,1048575,30419,00,03
D,21969176,1064,883,0,3301,309,0,0,0,0,0,01,0,0,0,0,21969263,801D001D,1048575,31547,00,03
D,21970235,1059,883,0,3301,372,0,0,0,0,0,01,0,0,0,0,21970343,801D001D,1048575,32641,00,03
D,21971175,940,883,0,3301,317,0,0,0,0,0,01,0,0,0,0,21971245,801D001D,1048575,33511,00,03
D,21972177,1002,883,0,3301,309,0,0,0,0,0,01,0,0,0,0,21972245,801D001D,1048575,34511,00,03
