us,dt_us,raw,delta,counts,i2c_us,omega,window,cmd,fas,remaining,flags,state,stage,current_ma
1262559188,970,3357,1,-203973,241,-284,-284,265,270,603,1,7,3,1650
1262560201,1013,3358,1,-203974,246,-284,-284,265,268,602,1,7,3,1650
1262561284,1083,3359,1,-203975,331,-284,-284,265,267,601,1,7,3,1650
1262562407,1123,3360,1,-203976,456,-283,-275,265,265,600,1,7,3,1650
1262563247,840,3361,1,-203977,280,-283,-276,265,265,599,1,7,3,1650
1262564261,1014,3362,1,-203978,304,-283,-277,260,265,599,1,7,3,1650
1262565228,967,3363,1,-203979,272,-282,-268,260,265,598,1,7,3,1650
1262566286,1058,3364,1,-203980,326,-282,-268,260,265,597,1,7,3,1650
1262567242,956,3366,2,-203982,284,-282,-276,260,265,595,1,7,3,1650
1262568193,951,3367,1,-203983,247,-281,-276,260,265,594,1,7,3,1650
1262569218,1025,3368,1,-203984,266,-281,-276,260,265,593,1,7,3,1650
1262570263,1045,3370,2,-203986,305,-281,-284,260,265,592,1,7,3,1650
1262571224,961,3371,1,-203987,273,-281,-284,260,265,591,1,7,3,1650
1262572242,1018,3372,1,-203988,287,-281,-284,260,265,590,1,7,3,1650
1262573200,958,3373,1,-203989,243,-282,-285,260,265,589,1,7,3,1650
1262574243,1043,3374,1,-203990,278,-282,-285,260,265,588,1,7,3,1650
1262575209,966,3375,1,-203991,248,-282,-284,260,265,587,1,7,3,1650
1262576180,971,3376,1,-203992,224,-282,-284,260,265,586,1,7,3,1650
1262577182,1002,3377,1,-203993,221,-282,-284,260,265,585,1,7,3,1650
1262578208,1026,3378,1,-203994,257,-282,-285,260,265,584,1,7,3,1650
1262579187,979,3379,1,-203995,239,-282,-284,260,265,584,1,7,3,1650
1262580198,1011,3380,1,-203996,249,-282,-284,260,265,583,1,7,3,1650
1262581271,1073,3381,1,-203997,320,-282,-276,260,265,582,1,7,3,1650
1262582416,1145,3382,1,-203998,449,-282,-275,260,265,581,1,7,3,1650
1262583238,822,3383,1,-203999,287,-281,-268,260,265,580,1,7,3,1650
1262584218,980,3384,1,-204000,254,-281,-268,260,263,579,1,7,3,1650
1262585212,994,3385,1,-204001,259,-280,-268,260,261,578,1,7,3,1650
1262586294,1082,3386,1,-204002,338,-279,-259,260,259,577,1,7,3,1650
1262587220,926,3387,1,-204003,261,-279,-260,260,260,577,1,7,3,1650
1262588199,979,3389,2,-204005,244,-278,-268,260,260,575,1,7,3,1650
1262589249,1050,3390,1,-204006,290,-278,-268,255,260,574,1,7,3,1650
1262590261,1012,3391,1,-204007,308,-277,-268,255,260,573,1,7,3,1650
1262591255,994,3392,1,-204008,295,-277,-267,255,260,572,1,7,3,1650
1262592243,988,3394,2,-204010,297,-277,-276,255,260,570,1,7,3,1650
1262593202,959,3395,1,-204011,241,-277,-277,255,260,570,1,7,3,1650
1262594231,1029,3396,1,-204012,284,-277,-276,255,260,569,1,7,3,1650
1262595209,978,3397,1,-204013,262,-277,-276,255,260,568,1,7,3,1650
1262596174,965,3397,0,-204013,223,-277,-268,255,260,568,1,7,3,1650
1262597176,1002,3398,1,-204014,221,-276,-269,255,260,567,1,7,3,1650
1262598224,1048,3400,2,-204016,260,-276,-268,255,260,565,1,7,3,1650
1262599192,968,3401,1,-204017,237,-276,-268,255,260,564,1,7,3,1650
1262600202,1010,3401,0,-204017,250,-275,-260,255,260,564,1,7,3,1650
1262601295,1093,3403,2,-204019,331,-274,-260,255,260,563,1,7,3,1650
1262602411,1116,3404,1,-204020,443,-274,-259,255,260,562,1,7,3,1650
1262603249,838,3405,1,-204021,280,-273,-260,255,260,561,1,7,3,1650
1262604215,966,3406,1,-204022,266,-273,-260,255,260,560,1,7,3,1650
1262605215,1000,3407,1,-204023,261,-272,-260,255,260,559,1,7,3,1650
1262606276,1061,3408,1,-204024,326,-272,-260,255,260,558,1,7,3,1650
1262607218,942,3409,1,-204025,265,-271,-260,255,259,557,1,7,3,1650
1262608206,988,3410,1,-204026,244,-271,-260,255,257,556,1,7,3,1650
1262609213,1007,3412,2,-204028,261,-271,-268,255,255,555,1,7,3,1650
1262610261,1048,3413,1,-204029,304,-271,-268,255,253,554,1,7,3,1650
1262611233,972,3414,1,-204030,273,-270,-267,255,253,553,1,7,3,1650
1262612246,1013,3415,1,-204031,289,-270,-268,255,254,552,1,7,3,1650
1262613199,953,3416,1,-204032,246,-270,-270,255,254,551,1,7,3,1650
1262614320,1121,3417,1,-204033,338,-270,-268,249,254,550,1,7,3,1650
1262615208,888,3418,1,-204034,260,-270,-268,249,254,549,1,7,3,1650
1262616170,962,3419,1,-204035,222,-270,-268,249,254,548,1,7,3,1650
1262617171,1001,3420,1,-204036,222,-270,-269,249,254,548,1,7,3,1650
1262618221,1050,3420,0,-204036,257,-269,-252,249,254,548,1,7,3,1650
1262619185,964,3421,1,-204037,235,-269,-252,249,254,547,1,7,3,1650
1262620212,1027,3422,1,-204038,255,-268,-252,249,254,546,1,7,3,1650
1262621283,1071,3423,1,-204039,333,-267,-252,249,254,545,1,7,3,1650
1262622376,1093,3424,1,-204040,426,-266,-243,249,254,544,1,7,3,1650
1262623245,869,3425,1,-204041,290,-266,-244,249,254,543,1,7,3,1650
1262624203,958,3426,1,-204042,252,-265,-244,249,254,542,1,7,3,1650
1262625229,1026,3428,2,-204044,266,-264,-252,249,254,541,1,7,3,1650
1262626267,1038,3429,1,-204045,312,-264,-260,249,254,540,1,7,3,1650
1262627233,966,3430,1,-204046,285,-264,-260,249,254,539,1,7,3,1650
1262628210,977,3431,1,-204047,256,-264,-260,249,254,538,1,7,3,1650
1262629219,1009,3432,1,-204048,268,-263,-252,249,254,537,1,7,3,1650
1262630249,1030,3434,2,-204050,294,-263,-268,249,254,535,1,7,3,1650
1262631234,985,3435,1,-204051,282,-264,-267,249,253,534,1,7,3,1650
1262632237,1003,3436,1,-204052,283,-263,-260,249,251,533,1,7,3,1650
1262633194,957,3437,1,-204053,248,-263,-262,249,251,533,1,7,3,1650
1262634234,1040,3438,1,-204054,279,-263,-260,249,249,532,1,7,3,1650
1262635207,973,3439,1,-204055,255,-263,-260,249,249,531,1,7,3,1650
1262636187,980,3440,1,-204056,222,-263,-260,249,249,530,1,7,3,1650
1262637182,995,3441,1,-204057,221,-263,-261,249,249,529,1,7,3,1650
1262638208,1026,3442,1,-204058,255,-263,-260,249,249,528,1,7,3,1650
1262639213,1005,3443,1,-204059,267,-262,-252,244,249,527,1,7,3,1650
1262640220,1007,3444,1,-204060,255,-262,-252,244,249,526,1,7,3,1650
1262641306,1086,3445,1,-204061,345,-262,-252,244,249,526,1,7,3,1650
1262642418,1112,3446,1,-204062,454,-261,-251,244,249,525,1,7,3,1650
1262643247,829,3447,1,-204063,288,-261,-252,244,249,524,1,7,3,1650
1262644202,955,3448,1,-204064,252,-260,-252,244,249,523,1,7,3,1650
1262645213,1011,3449,1,-204065,266,-260,-252,244,249,522,1,7,3,1650
1262646249,1036,3450,1,-204066,289,-260,-252,244,249,521,1,7,3,1650
1262647248,999,3451,1,-204067,298,-259,-252,244,249,520,1,7,3,1650
1262648203,955,3453,2,-204069,244,-259,-260,244,249,519,1,7,3,1650
1262649216,1013,3454,1,-204070,265,-260,-268,244,249,518,1,7,3,1650
1262650241,1025,3455,1,-204071,287,-260,-268,244,249,517,1,7,3,1650
1262651236,995,3456,1,-204072,279,-260,-268,244,249,516,1,7,3,1650
1262652230,994,3457,1,-204073,271,-261,-268,244,249,515,1,7,3,1650
1262653213,983,3458,1,-204074,253,-261,-269,244,249,514,1,7,3,1650
1262654248,1035,3459,1,-204075,290,-261,-268,244,249,513,1,7,3,1650
1262655199,951,3460,1,-204076,250,-262,-268,244,249,512,1,7,3,1650
1262656173,974,3461,1,-204077,223,-262,-260,244,249,512,1,7,3,1650
1262657169,996,3462,1,-204078,221,-262,-261,244,249,511,1,7,3,1650
1262658209,1040,3462,0,-204078,253,-261,-252,244,249,511,1,7,3,1650
1262659197,988,3463,1,-204079,237,-261,-252,244,249,510,1,7,3,1650
1262660198,1001,3464,1,-204080,245,-260,-252,244,247,509,1,7,3,1650
1262661284,1086,3465,1,-204081,335,-260,-244,244,245,508,1,7,3,1650
1262662403,1119,3466,1,-204082,436,-259,-243,244,243,507,1,7,3,1650
1262663243,840,3467,1,-204083,283,-259,-244,244,243,506,1,7,3,1650
1262664265,1022,3468,1,-204084,315,-258,-244,239,244,505,1,7,3,1650
1262665220,955,3469,1,-204085,266,-257,-244,239,244,504,1,7,3,1650
1262666266,1046,3470,1,-204086,317,-257,-243,239,244,504,1,7,3,1650
1262667248,982,3471,1,-204087,294,-256,-244,239,244,503,1,7,3,1650
