done_us,dt_good_us,raw,delta,counts,i2c_us,omega_mrev,window_mrev,cmd_mrev,fas_mrev,remain_ddeg,flags_hex,state,stage,current_ma,step_count,step_us,drv_status_hex,tstep,driver_age_us,gstat_hex,pins_hex
969233936,996,3082,-1,78926,269,285,284,0,0,0,1,4,0,0,2030,969234010,2164260929,1048575,18455,0,1
969234940,1004,3081,-1,78927,278,285,285,0,0,0,1,4,0,0,2030,969235021,2164260929,1048575,19470,0,1
969235936,996,3080,-1,78928,269,285,283,0,0,0,1,4,0,0,2030,969236005,2164260929,1048575,20448,0,1
969236970,1034,3079,-1,78929,301,285,276,0,0,0,1,4,0,0,2030,969237051,2164260929,1048575,21509,0,1
969237912,942,3077,-2,78931,252,285,285,0,0,0,1,4,0,0,2030,969237963,2164260929,1048575,22401,0,1
969238926,1014,3076,-1,78932,255,285,284,0,0,0,1,4,0,0,2030,969238975,2164260929,1048575,23417,0,1
969239911,985,3075,-1,78933,238,285,284,0,0,0,1,4,0,0,2030,969239949,2164260929,1048575,24388,0,1
969240921,1010,3074,-1,78934,250,285,284,0,0,0,1,4,0,0,2030,969240968,2164260929,1048575,25409,0,1
969241900,979,3073,-1,78935,237,285,284,0,0,0,1,4,0,0,2030,969241946,2164260929,1048575,26385,0,1
969242922,1022,3071,-2,78937,253,285,291,0,0,0,1,4,0,0,2030,969242971,2164260929,1048575,27412,0,1
969243909,987,3070,-1,78938,241,285,284,0,0,0,1,4,0,0,2030,969243947,2164260929,1048575,28386,0,1
969244923,1014,3069,-1,78939,254,285,284,0,0,0,1,4,0,0,2030,969244990,2164260929,1048575,29434,0,1
969246013,1090,3068,-1,78940,342,285,284,0,0,0,1,4,0,0,2030,969246101,2164260929,1048575,30561,0,1
969247035,1022,3066,-2,78942,364,285,292,0,0,0,1,4,0,0,2030,969247146,2164260929,1048575,31611,0,1
969247949,914,3065,-1,78943,288,285,293,0,0,0,1,4,0,0,2030,969248031,2164260929,1048575,32483,0,1
969248941,992,3064,-1,78944,281,286,293,0,0,0,1,4,0,0,2030,969249010,2164260929,1048575,33455,0,1
969249932,991,3063,-1,78945,271,286,285,0,0,0,1,4,0,0,2030,969249985,2164260929,1048575,34424,0,1
969250949,1017,3062,-1,78946,279,286,284,0,0,0,1,4,0,0,2030,969251015,2164260929,1048575,35464,0,1
969251934,985,3060,-2,78948,262,286,293,0,0,0,1,4,0,0,2030,969252010,2164260929,1048575,36459,0,1
969252941,1007,3060,0,78948,274,286,285,0,0,0,1,4,0,0,2030,969253014,2164260929,1048575,37461,0,1
969253935,994,3058,-2,78950,267,286,293,0,0,0,1,4,0,0,2030,969254015,2164260929,1048575,38465,0,1
969254950,1015,3057,-1,78951,286,286,293,0,0,0,1,4,0,0,2030,969255025,2164260929,1048575,39474,0,1
969255944,994,3056,-1,78952,270,287,291,0,0,0,1,4,0,0,2030,969256005,2164260929,1048575,40450,0,1
969256989,1045,3055,-1,78953,317,286,284,0,0,0,1,4,0,0,2030,969257072,2164260929,1048575,41530,0,1
969257913,924,3054,-1,78954,242,286,285,0,0,0,1,4,0,0,2030,969257964,2164260929,1048575,42403,0,1
969258925,1012,3053,-1,78955,254,286,284,0,0,0,1,4,0,0,2030,969258976,2164260929,1048575,43417,0,1
969259910,985,3051,-2,78957,238,287,292,0,0,0,1,4,0,0,2030,969259947,2164260929,1048575,44386,0,1
969260915,1005,3050,-1,78958,247,287,292,0,0,0,1,4,0,0,2030,969260960,2164260929,1048575,45400,0,1
969261908,993,3049,-1,78959,240,287,284,0,0,0,1,4,0,0,2030,969261955,2164260929,1048575,46395,0,1
969262912,1004,3048,-1,78960,250,286,284,0,0,0,1,4,0,0,2030,969262961,2164260929,1048575,47401,0,1
969263911,999,3047,-1,78961,239,286,284,0,0,0,1,4,0,0,2030,969263946,2164260929,1048575,48385,0,1
969264920,1009,3045,-2,78963,252,287,292,0,0,0,1,4,0,0,2030,969264988,2164260929,1048575,49432,0,1
969266017,1097,3044,-1,78964,343,287,292,0,0,0,1,4,0,0,2030,969266108,2164260929,1048575,2,0,1
969267336,1319,3043,-1,78965,358,287,289,0,0,0,1,4,0,0,2030,969267450,2164260929,1048575,650,0,1
969267922,586,3042,-1,78966,258,287,285,0,0,0,1,4,0,0,2030,969267979,2164260929,1048575,1155,0,1
969268930,1008,3041,-1,78967,265,287,285,0,0,0,1,4,0,0,2030,969268991,2164260929,1048575,2171,0,1
969269912,982,3040,-1,78968,252,287,285,0,0,0,1,4,0,0,2030,969269964,2164260929,1048575,3149,0,1
969270955,1043,3039,-1,78969,281,287,285,0,0,0,1,4,0,0,2030,969271013,2164260929,1048575,4196,0,1
969271929,974,3038,-1,78970,257,287,285,0,0,0,1,4,0,0,2030,969271999,2164260929,1048575,5181,0,1
969272940,1011,3036,-2,78972,273,286,285,0,0,0,1,4,0,0,2030,969273003,2164260929,1048575,6184,0,1
969273957,1017,3035,-1,78973,296,286,284,0,0,0,1,4,0,0,2030,969274016,2164260929,1048575,7197,0,1
969274958,1001,3034,-1,78974,282,286,284,0,0,0,1,4,0,0,2030,969275022,2164260929,1048575,8204,0,1
969275934,976,3033,-1,78975,261,286,283,0,0,0,1,4,0,0,2030,969276009,2164260929,1048575,9190,0,1
969276976,1042,3031,-2,78977,310,286,292,0,0,0,1,4,0,0,2030,969277056,2164260929,1048575,10248,0,1
969277907,931,3030,-1,78978,246,286,285,0,0,0,1,4,0,0,2030,969277958,2164260929,1048575,11133,0,1
969278923,1016,3029,-1,78979,255,286,284,0,0,0,1,4,0,0,2030,969278972,2164260929,1048575,12149,0,1
969279908,985,3028,-1,78980,239,286,284,0,0,0,1,4,0,0,2030,969279949,2164260929,1048575,13125,0,1
969280921,1013,3027,-1,78981,249,286,284,0,0,0,1,4,0,0,2030,969280967,2164260929,1048575,14143,0,1
969281898,977,3026,-1,78982,238,286,284,0,0,0,1,4,0,0,2030,969281947,2164260929,1048575,15122,0,1
969282922,1024,3024,-2,78984,252,286,284,0,0,0,1,4,0,0,2030,969282971,2164260929,1048575,16147,0,1
969283908,986,3023,-1,78985,242,286,292,0,0,0,1,4,0,0,2030,969283950,2164260929,1048575,17125,0,1
969284921,1013,3022,-1,78986,249,286,284,0,0,0,1,4,0,0,2030,969284988,2164260929,1048575,18167,0,1
969286014,1093,3021,-1,78987,342,286,284,0,0,0,1,4,0,0,2030,969286100,2164260929,1048575,19295,0,1
969287050,1036,3019,-2,78989,374,286,292,0,0,0,1,4,0,0,2030,969287158,2164260929,1048575,20359,0,1
969287952,902,3018,-1,78990,288,286,293,0,0,0,1,4,0,0,2030,969288031,2164260929,1048575,21218,0,1
969288943,991,3017,-1,78991,276,287,293,0,0,0,1,4,0,0,2030,969289007,2164260929,1048575,22185,0,1
969289950,1007,3016,-1,78992,280,287,284,0,0,0,1,4,0,0,2030,969290012,2164260929,1048575,23193,0,1
969290938,988,3015,-1,78993,275,287,285,0,0,0,1,4,0,0,2030,969291003,2164260929,1048575,24186,0,1
969291931,993,3014,-1,78994,260,286,285,0,0,0,1,4,0,0,2030,969291993,2164260929,1048575,25177,0,1
969292941,1010,3012,-2,78996,275,287,293,0,0,0,1,4,0,0,2030,969293005,2164260929,1048575,26191,0,1
969293928,987,3011,-1,78997,267,287,293,0,0,0,1,4,0,0,2030,969293993,2164260929,1048575,27180,0,1
969294958,1030,3010,-1,78998,288,287,284,0,0,0,1,4,0,0,2030,969295024,2164260929,1048575,28207,0,1
969295930,972,3009,-1,78999,265,287,283,0,0,0,1,4,0,0,2030,969295999,2164260929,1048575,29186,0,1
969296980,1050,3008,-1,79000,319,287,284,0,0,0,1,4,0,0,2030,969297065,2164260929,1048575,30258,0,1
969297900,920,3007,-1,79001,238,287,288,0,0,0,1,4,0,0,2030,969297951,2164260929,1048575,31132,0,1
969298924,1024,3005,-2,79003,257,287,291,0,0,0,1,4,0,0,2030,969298974,2164260929,1048575,32151,0,1
969299909,985,3004,-1,79004,238,287,292,0,0,0,1,4,0,0,2030,969299946,2164260929,1048575,33122,0,1
969300916,1007,3003,-1,79005,248,287,291,0,0,0,1,4,0,0,2030,969300960,2164260929,1048575,34135,0,1
969301909,993,3002,-1,79006,238,287,292,0,0,0,1,4,0,0,2030,969301960,2164260929,1048575,35136,0,1
969302919,1010,3001,-1,79007,252,288,291,0,0,0,1,4,0,0,2030,969302966,2164260929,1048575,36143,0,1
969303900,981,2999,-2,79009,237,288,292,0,0,0,1,4,0,0,2030,969303939,2164260929,1048575,37114,0,1
