done_us,dt_good_us,raw,delta,counts,i2c_us,omega_mrev,window_mrev,cmd_mrev,fas_mrev,remain_ddeg,flags_hex,state,stage,current_ma,step_count,step_us,drv_status_hex,tstep,driver_age_us,gstat_hex,pins_hex
971669874,987,136,0,-110640,248,1,0,22,0,0,1,9,5,1650,3261,971669919,2166292536,1048575,11480,0,2
971670890,1016,136,0,-110640,264,1,0,22,0,0,1,9,5,1650,3261,971670957,2166292536,1048575,12528,0,2
971671878,988,136,0,-110640,248,1,0,22,0,0,1,9,5,1650,3261,971671923,2166292536,1048575,13485,0,2
971672872,994,136,0,-110640,244,1,0,22,0,0,1,9,5,1650,3261,971672937,2166292536,1048575,14511,0,2
971673870,998,136,0,-110640,249,1,0,22,0,0,1,9,5,1650,3261,971673902,2166292536,1048575,15461,0,2
971674879,1009,136,0,-110640,254,1,0,22,0,0,1,9,5,1650,3261,971674944,2166292536,1048575,16513,0,2
971675877,998,136,0,-110640,246,1,0,22,0,0,1,9,5,1650,3261,971675923,2166292536,1048575,17489,0,2
971676923,1046,136,0,-110640,298,1,0,22,0,0,1,9,5,1650,3261,971677002,2166292536,1048575,18578,0,2
971677862,939,136,0,-110640,237,1,0,22,0,0,1,9,5,1650,3261,971677891,2166292536,1048575,19453,0,2
971678867,1005,136,0,-110640,235,1,0,22,0,0,1,9,5,1650,3261,971678899,2166292536,1048575,20459,0,2
971679845,978,136,0,-110640,227,1,0,22,0,0,1,9,5,1650,3261,971679870,2166292536,1048575,21429,0,2
971680856,1011,136,0,-110640,225,1,0,22,0,0,1,9,5,1650,3261,971680883,2166292536,1048575,22442,0,2
971681852,996,136,0,-110640,222,1,0,22,0,0,1,9,5,1650,3261,971681874,2166292536,1048575,23433,0,2
971682853,1001,136,0,-110640,233,1,0,22,0,0,1,9,5,1650,3261,971682885,2166292536,1048575,24444,0,2
971683846,993,136,0,-110640,228,1,0,22,0,0,1,9,5,1650,3261,971683870,2166292536,1048575,25429,0,2
971684856,1010,136,0,-110640,225,1,0,22,0,0,1,9,5,1650,3261,971684883,2166292536,1048575,26446,0,2
971685935,1079,136,0,-110640,310,1,0,22,0,0,1,9,5,1650,3261,971686027,2166292536,1048575,27601,0,2
971687008,1073,136,0,-110640,377,1,0,22,0,0,1,9,5,1650,3261,971687115,2166292536,1048575,28701,0,2
971687889,881,136,0,-110640,268,1,0,22,0,0,1,9,5,1650,3261,971687950,2166292536,1048575,29518,0,2
971688891,1002,136,0,-110640,263,1,0,22,0,0,1,9,5,1650,3261,971688951,2166292536,1048575,30521,0,2
971689874,983,136,0,-110640,249,1,0,22,0,0,1,9,5,1650,3261,971689917,2166292536,1048575,31478,0,2
971690888,1014,136,0,-110640,261,0,0,22,0,0,1,9,5,1650,3261,971690948,2166292536,1048575,32518,0,2
971691875,987,136,0,-110640,252,0,0,22,0,0,1,9,5,1650,3261,971691906,2166292536,1048575,33465,0,2
971692865,990,136,0,-110640,241,0,0,22,0,0,1,9,5,1650,3261,971692926,2166292536,1048575,34498,0,2
971693876,1011,136,0,-110640,249,0,0,22,0,0,1,9,5,1650,3261,971693915,2166292536,1048575,35478,0,2
971694879,1003,136,0,-110640,254,0,0,22,0,0,1,9,5,1650,3261,971694949,2166292536,1048575,36519,0,2
971695874,995,136,0,-110640,248,0,0,22,0,0,1,9,5,1650,3261,971695922,2166292536,1048575,37485,0,2
971696917,1043,136,0,-110640,299,0,0,22,0,0,1,9,5,1650,3261,971696990,2166292536,1048575,38566,0,2
971697859,942,136,0,-110640,237,0,0,22,0,0,1,9,5,1650,3261,971697882,2166292536,1048575,39444,0,2
971698855,996,136,0,-110640,236,0,0,22,0,0,1,9,5,1650,3261,971698888,2166292536,1048575,40447,0,2
971699852,997,136,0,-110640,228,0,0,22,0,0,1,9,5,1650,3261,971699877,2166292536,1048575,41437,0,2
971700850,998,136,0,-110640,227,0,0,22,0,0,1,9,5,1650,3261,971700876,2166292536,1048575,42437,0,2
971701848,998,136,0,-110640,226,0,0,22,0,0,1,9,5,1650,3261,971701875,2166292536,1048575,43435,0,2
971702857,1009,136,0,-110640,235,0,0,22,0,0,1,9,5,1650,3261,971702889,2166292536,1048575,44448,0,2
971703851,994,136,0,-110640,229,0,0,22,0,0,1,9,5,1650,3261,971703875,2166292536,1048575,45434,0,2
971704845,994,136,0,-110640,225,0,0,22,0,0,1,9,5,1650,3261,971704872,2166292536,1048575,46431,0,2
971705934,1089,136,0,-110640,316,0,0,22,0,0,1,9,5,1650,3261,971706030,2166292536,1048575,47604,0,2
971707014,1080,136,0,-110640,386,0,0,22,0,0,1,9,5,1650,3261,971707117,2166292536,1048575,48701,0,2
971707881,867,136,0,-110640,261,0,0,22,0,0,1,9,5,1650,3261,971707943,2166292536,1048575,49511,0,2
971708876,995,136,0,-110640,255,0,0,22,0,0,1,9,5,1650,3261,971708941,2166292536,1048575,1,0,2
971709956,1080,136,0,-110640,328,0,0,22,0,0,1,9,5,1650,3261,971710010,2166292536,1048575,540,0,2
