record,done_us,dt_good_us,raw,delta,counts,i2c_us,omega_mrev,window_mrev,cmd_mrev,fas_mrev,remain_ddeg,flags_hex,state,stage,current_ma,step_count,step_us,drv_status_hex,tstep,driver_age_us,gstat_hex,pins_hex
D,26932326,1037,653,0,3531,270,0,0,0,0,0,01,0,0,0,0,26932411,811D002D,1048575,1,00,03
D,26933319,993,653,0,3531,261,0,0,0,0,0,01,0,0,0,0,26933372,811D002D,1048575,411,00,03
D,26934305,986,653,0,3531,244,0,0,0,0,0,01,0,0,0,0,26934353,811D002D,1048575,1394,00,03
D,26935298,993,653,0,3531,236,0,0,0,0,0,01,0,0,0,0,26935334,811D002D,1048575,2373,00,03
D,26936332,1034,653,0,3531,264,0,0,0,0,0,01,0,0,0,0,26936410,811D002D,1048575,3460,00,03
D,26937416,1084,653,0,3531,360,0,0,0,0,0,01,0,0,0,0,26937606,811D002D,1048575,4693,00,03
D,26938462,1046,653,0,3531,406,0,0,0,0,0,01,0,0,0,0,26938585,811D002D,1048575,5650,00,03
D,26939364,902,653,0,3531,299,0,0,0,0,0,01,0,0,0,0,26939429,811D002D,1048575,6477,00,03
D,26940329,965,653,0,3531,269,0,0,0,0,0,01,0,0,0,0,26940398,811D002D,1048575,7447,00,03
D,26941331,1002,653,0,3531,276,0,0,0,0,0,01,0,0,0,0,26941387,811D002D,1048575,8434,00,03
D,26942340,1009,653,0,3531,276,0,0,0,0,0,01,0,0,0,0,26942408,811D002D,1048575,9457,00,03
D,26943344,1004,653,0,3531,275,0,0,0,0,0,01,0,0,0,0,26943401,811D002D,1048575,10445,00,03
D,26944337,993,653,0,3531,267,0,0,0,0,0,01,0,0,0,0,26944399,811D002D,1048575,11450,00,03
D,26945349,1012,653,0,3531,279,0,0,0,0,0,01,0,0,0,0,26945405,811D002D,1048575,12449,00,03
D,26946335,986,653,0,3531,273,0,0,0,0,0,01,0,0,0,0,26946404,811D002D,1048575,13452,00,03
D,26947350,1015,653,0,3531,292,0,0,0,0,0,01,0,0,0,0,26947407,811D002D,1048575,14455,00,03
D,26948370,1020,653,0,3531,309,0,0,0,0,0,01,0,0,0,0,26948463,811D002D,1048575,15518,00,03
D,26949305,935,653,0,3531,245,0,0,0,0,0,01,0,0,0,0,26949344,811D002D,1048575,16383,00,03
D,26950308,1003,653,0,3531,246,0,0,0,0,0,01,0,0,0,0,26950350,811D002D,1048575,17391,00,03
D,26951306,998,653,0,3531,238,0,0,0,0,0,01,0,0,0,0,26951341,811D002D,1048575,18380,00,03
D,26952304,998,653,0,3531,239,0,0,0,0,0,01,0,0,0,0,26952339,811D002D,1048575,19379,00,03
D,26953302,998,653,0,3531,238,0,0,0,0,0,01,0,0,0,0,26953338,811D002D,1048575,20377,00,03
D,26954313,1011,653,0,3531,244,0,0,0,0,0,01,0,0,0,0,26954355,811D002D,1048575,21394,00,03
D,26955296,983,653,0,3531,238,0,0,0,0,0,01,0,0,0,0,26955331,811D002D,1048575,22371,00,03
D,26956327,1031,653,0,3531,263,0,0,0,0,0,01,0,0,0,0,26956409,811D002D,1048575,23456,00,03
D,26957422,1095,653,0,3531,351,0,0,0,0,0,01,0,0,0,0,26957607,811D002D,1048575,24687,00,03
D,26958482,1060,653,0,3531,424,0,0,0,0,0,01,0,0,0,0,26958605,811D002D,1048575,25666,00,03
D,26959350,868,653,0,3531,280,0,0,0,0,0,01,0,0,0,0,26959410,811D002D,1048575,26458,00,03
D,26960339,989,653,0,3531,269,0,0,0,0,0,01,0,0,0,0,26960400,811D002D,1048575,27449,00,03
D,26961341,1002,653,0,3531,274,0,0,0,0,0,01,0,0,0,0,26961399,811D002D,1048575,28448,00,03
D,26962335,994,653,0,3531,275,0,0,0,0,0,01,0,0,0,0,26962404,811D002D,1048575,29452,00,03
D,26963331,996,653,0,3531,275,0,0,0,0,0,01,0,0,0,0,26963389,811D002D,1048575,30436,00,03
D,26964331,1000,653,0,3531,267,0,0,0,0,0,01,0,0,0,0,26964399,811D002D,1048575,31449,00,03
D,26965346,1015,653,0,3531,276,0,0,0,0,0,01,0,0,0,0,26965403,811D002D,1048575,32449,00,03
