done_us,dt_good_us,raw,delta,counts,i2c_us,omega_mrev,window_mrev,cmd_mrev,fas_mrev,remain_ddeg,flags_hex,state,stage,current_ma,step_count,step_us,drv_status_hex,tstep,driver_age_us,gstat_hex,pins_hex
70602899,997,498,0,3686,236,0,0,0,0,0,1,0,0,0,0,70602934,2147483696,1048575,3460,0,3
70603900,1001,498,0,3686,231,0,0,0,0,0,1,0,0,0,0,70603931,2147483696,1048575,4458,0,3
70604899,999,498,0,3686,230,0,0,0,0,0,1,0,0,0,0,70604950,2147483696,1048575,5476,0,3
70605988,1089,498,0,3686,319,0,0,0,0,0,1,0,0,0,0,70606073,2147483696,1048575,6617,0,3
70607021,1033,498,0,3686,347,0,0,0,0,0,1,0,0,0,0,70607131,2147483696,1048575,7682,0,3
70607940,919,498,0,3686,274,0,0,0,0,0,1,0,0,0,0,70608002,2147483696,1048575,8534,0,3
70608922,982,498,0,3686,251,0,0,0,0,0,1,0,0,0,0,70608969,2147483696,1048575,9498,0,3
70609960,1038,498,0,3686,288,0,0,0,0,0,1,0,0,0,0,70609998,2147483696,1048575,10529,0,3
70610913,953,498,0,3686,254,0,0,0,0,0,1,0,0,0,0,70610965,2147483696,1048575,11493,0,3
70611905,992,498,0,3686,236,0,0,0,0,0,1,0,0,0,0,70611947,2147483696,1048575,12475,0,3
70612909,1004,498,0,3686,249,0,0,0,0,0,1,0,0,0,0,70612957,2147483696,1048575,13486,0,3
70613893,984,498,0,3686,234,0,0,0,0,0,1,0,0,0,0,70613949,2147483696,1048575,14479,0,3
70614918,1025,498,0,3686,258,0,0,0,0,0,1,0,0,0,0,70614968,2147483696,1048575,15499,0,3
70615892,974,498,0,3686,233,0,0,0,0,0,1,0,0,0,0,70615940,2147483696,1048575,16470,0,3
70616964,1072,498,0,3686,294,0,0,0,0,0,1,0,0,0,0,70617035,2147483696,1048575,17578,0,3
70617885,921,498,0,3686,227,0,0,0,0,0,1,0,0,0,0,70617923,2147483696,1048575,18448,0,3
70618900,1015,498,0,3686,238,0,0,0,0,0,1,0,0,0,0,70618937,2147483696,1048575,19465,0,3
70619890,990,498,0,3686,225,0,0,0,0,0,1,0,0,0,0,70619919,2147483696,1048575,20444,0,3
70620893,1003,498,0,3686,227,0,0,0,0,0,1,0,0,0,0,70620925,2147483696,1048575,21452,0,3
70621887,994,498,0,3686,223,0,0,0,0,0,1,0,0,0,0,70621918,2147483696,1048575,22443,0,3
70622901,1014,498,0,3686,235,0,0,0,0,0,1,0,0,0,0,70622937,2147483696,1048575,23465,0,3
70623889,988,498,0,3686,224,0,0,0,0,0,1,0,0,0,0,70623918,2147483696,1048575,24443,0,3
70624892,1003,498,0,3686,227,0,0,0,0,0,1,0,0,0,0,70624946,2147483696,1048575,25480,0,3
70625989,1097,498,0,3686,321,0,0,0,0,0,1,0,0,0,0,70626077,2147483696,1048575,26620,0,3
70627030,1041,498,0,3686,355,0,0,0,0,0,1,0,0,0,0,70627134,2147483696,1048575,27683,0,3
70627938,908,498,0,3686,268,0,0,0,0,0,1,0,0,0,0,70628003,2147483696,1048575,28535,0,3
70628925,987,498,0,3686,253,0,0,0,0,0,1,0,0,0,0,70628973,2147483696,1048575,29501,0,3
70629905,980,498,0,3686,245,0,0,0,0,0,1,0,0,0,0,70629947,2147483696,1048575,30481,0,3
70630915,1010,498,0,3686,256,0,0,0,0,0,1,0,0,0,0,70630961,2147483696,1048575,31491,0,3
70631905,990,498,0,3686,238,0,0,0,0,0,1,0,0,0,0,70631942,2147483696,1048575,32468,0,3
70632904,999,498,0,3686,246,0,0,0,0,0,1,0,0,0,0,70632952,2147483696,1048575,33484,0,3
70633921,1017,498,0,3686,250,0,0,0,0,0,1,0,0,0,0,70633985,2147483696,1048575,34515,0,3
70634918,997,498,0,3686,256,0,0,0,0,0,1,0,0,0,0,70634971,2147483696,1048575,35499,0,3
70635889,971,498,0,3686,230,0,0,0,0,0,1,0,0,0,0,70635937,2147483696,1048575,36468,0,3
70636955,1066,498,0,3686,293,0,0,0,0,0,1,0,0,0,0,70637027,2147483696,1048575,37569,0,3
70637900,945,498,0,3686,233,0,0,0,0,0,1,0,0,0,0,70637933,2147483696,1048575,38459,0,3
70638905,1005,498,0,3686,238,0,0,0,0,0,1,0,0,0,0,70638942,2147483696,1048575,39471,0,3
70639895,990,498,0,3686,224,0,0,0,0,0,1,0,0,0,0,70639923,2147483696,1048575,40448,0,3
70640900,1005,498,0,3686,230,0,0,0,0,0,1,0,0,0,0,70640933,2147483696,1048575,41460,0,3
70641895,995,498,0,3686,223,0,0,0,0,0,1,0,0,0,0,70641928,2147483696,1048575,42453,0,3
70642896,1001,498,0,3686,235,0,0,0,0,0,1,0,0,0,0,70642931,2147483696,1048575,43459,0,3
70643882,986,498,0,3686,223,0,0,0,0,0,1,0,0,0,0,70643911,2147483696,1048575,44436,0,3
70644887,1005,498,0,3686,228,0,0,0,0,0,1,0,0,0,0,70644935,2147483696,1048575,45469,0,3
70645984,1097,498,0,3686,317,0,0,0,0,0,1,0,0,0,0,70646068,2147483696,1048575,46610,0,3
70647022,1038,498,0,3686,349,0,0,0,0,0,1,0,0,0,0,70647130,2147483696,1048575,47681,0,3
70647948,926,498,0,3686,277,0,0,0,0,0,1,0,0,0,0,70647996,2147483696,1048575,48526,0,3
70648910,962,498,0,3686,247,0,0,0,0,0,1,0,0,0,0,70648962,2147483696,1048575,49491,0,3
70649912,1002,498,0,3686,247,0,0,0,0,0,1,0,0,0,0,70649963,2147483696,1048575,1,0,3
70650937,1025,498,0,3686,274,0,0,0,0,0,1,0,0,0,0,70650991,2147483696,1048575,488,0,3
70651900,963,498,0,3686,236,0,0,0,0,0,1,0,0,0,0,70651932,2147483696,1048575,1424,0,3
70652919,1019,498,0,3686,248,0,0,0,0,0,1,0,0,0,0,70652961,2147483696,1048575,2457,0,3
70653906,987,498,0,3686,243,0,0,0,0,0,1,0,0,0,0,70653959,2147483696,1048575,3455,0,3
70654924,1018,498,0,3686,252,0,0,0,0,0,1,0,0,0,0,70654972,2147483696,1048575,4469,0,3
70655909,985,498,0,3686,245,0,0,0,0,0,1,0,0,0,0,70655963,2147483696,1048575,5456,0,3
70656967,1058,498,0,3686,296,0,0,0,0,0,1,0,0,0,0,70657038,2147483696,1048575,6547,0,3
70657891,924,498,0,3686,230,0,0,0,0,0,1,0,0,0,0,70657927,2147483696,1048575,7419,0,3
70658901,1010,498,0,3686,237,0,0,0,0,0,1,0,0,0,0,70658936,2147483696,1048575,8430,0,3
70659889,988,498,0,3686,225,0,0,0,0,0,1,0,0,0,0,70659918,2147483696,1048575,9409,0,3
70660892,1003,498,0,3686,227,0,0,0,0,0,1,0,0,0,0,70660925,2147483696,1048575,10417,0,3
70661887,995,498,0,3686,224,0,0,0,0,0,1,0,0,0,0,70661917,2147483696,1048575,11408,0,3
70662901,1014,498,0,3686,236,0,0,0,0,0,1,0,0,0,0,70662937,2147483696,1048575,12431,0,3
70663889,988,498,0,3686,224,0,0,0,0,0,1,0,0,0,0,70663918,2147483696,1048575,13409,0,3
70664892,1003,498,0,3686,227,0,0,0,0,0,1,0,0,0,0,70664944,2147483696,1048575,14441,0,3
70665984,1092,498,0,3686,313,0,0,0,0,0,1,0,0,0,0,70666075,2147483696,1048575,15586,0,3
70667033,1049,498,0,3686,353,0,0,0,0,0,1,0,0,0,0,70667139,2147483696,1048575,16654,0,3
70667940,907,498,0,3686,271,0,0,0,0,0,1,0,0,0,0,70668003,2147483696,1048575,17500,0,3
70668917,977,498,0,3686,248,0,0,0,0,0,1,0,0,0,0,70668963,2147483696,1048575,18458,0,3
70669913,996,498,0,3686,247,0,0,0,0,0,1,0,0,0,0,70669966,2147483696,1048575,19462,0,3
70670913,1000,498,0,3686,255,0,0,0,0,0,1,0,0,0,0,70670958,2147483696,1048575,20454,0,3
70671900,987,498,0,3686,236,0,0,0,0,0,1,0,0,0,0,70671935,2147483696,1048575,21427,0,3
70672904,1004,498,0,3686,246,0,0,0,0,0,1,0,0,0,0,70672950,2147483696,1048575,22446,0,3
70673905,1001,498,0,3686,237,0,0,0,0,0,1,0,0,0,0,70673956,2147483696,1048575,23449,0,3
70674917,1012,498,0,3686,253,0,0,0,0,0,1,0,0,0,0,70674965,2147483696,1048575,24460,0,3
70675911,994,498,0,3686,241,0,0,0,0,0,1,0,0,0,0,70675961,2147483696,1048575,25455,0,3
70676956,1045,498,0,3686,293,0,0,0,0,0,1,0,0,0,0,70677028,2147483696,1048575,26536,0,3
70677904,948,498,0,3686,238,0,0,0,0,0,1,0,0,0,0,70677941,2147483696,1048575,27432,0,3
70678902,998,498,0,3686,240,0,0,0,0,0,1,0,0,0,0,70678939,2147483696,1048575,28433,0,3
70679895,993,498,0,3686,227,0,0,0,0,0,1,0,0,0,0,70679926,2147483696,1048575,29417,0,3
70680888,993,498,0,3686,228,0,0,0,0,0,1,0,0,0,0,70680921,2147483696,1048575,30414,0,3
70681885,997,498,0,3686,226,0,0,0,0,0,1,0,0,0,0,70681918,2147483696,1048575,31410,0,3
70682903,1018,498,0,3686,235,0,0,0,0,0,1,0,0,0,0,70682939,2147483696,1048575,32432,0,3
70683893,990,498,0,3686,227,0,0,0,0,0,1,0,0,0,0,70683924,2147483696,1048575,33415,0,3
70684886,993,498,0,3686,228,0,0,0,0,0,1,0,0,0,0,70684935,2147483696,1048575,34435,0,3
70685985,1099,498,0,3686,320,0,0,0,0,0,1,0,0,0,0,70686067,2147483696,1048575,35575,0,3
70687029,1044,498,0,3686,351,0,0,0,0,0,1,0,0,0,0,70687137,2147483696,1048575,36654,0,3
70687939,910,498,0,3686,268,0,0,0,0,0,1,0,0,0,0,70688000,2147483696,1048575,37496,0,3
70688923,984,498,0,3686,253,0,0,0,0,0,1,0,0,0,0,70688972,2147483696,1048575,38467,0,3
70689900,977,498,0,3686,239,0,0,0,0,0,1,0,0,0,0,70689952,2147483696,1048575,39449,0,3
70690921,1021,498,0,3686,258,0,0,0,0,0,1,0,0,0,0,70690963,2147483696,1048575,40458,0,3
70691905,984,498,0,3686,239,0,0,0,0,0,1,0,0,0,0,70691944,2147483696,1048575,41437,0,3
70692918,1013,498,0,3686,248,0,0,0,0,0,1,0,0,0,0,70692960,2147483696,1048575,42455,0,3
70693906,988,498,0,3686,244,0,0,0,0,0,1,0,0,0,0,70693964,2147483696,1048575,43462,0,3
70694916,1010,498,0,3686,255,0,0,0,0,0,1,0,0,0,0,70694967,2147483696,1048575,44464,0,3
70695892,976,498,0,3686,234,0,0,0,0,0,1,0,0,0,0,70695946,2147483696,1048575,45446,0,3
70696960,1068,498,0,3686,298,0,0,0,0,0,1,0,0,0,0,70697039,2147483696,1048575,46549,0,3
70697893,933,498,0,3686,227,0,0,0,0,0,1,0,0,0,0,70697926,2147483696,1048575,47417,0,3
70698896,1003,498,0,3686,236,0,0,0,0,0,1,0,0,0,0,70698931,2147483696,1048575,48424,0,3
70699886,990,498,0,3686,228,0,0,0,0,0,1,0,0,0,0,70699916,2147483696,1048575,49408,0,3
70700892,1006,498,0,3686,228,0,0,0,0,0,1,0,0,0,0,70700924,2147483696,1048575,2,0,3
70701907,1015,498,0,3686,240,0,0,0,0,0,1,0,0,0,0,70701945,2147483696,1048575,494,0,3
